src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,total_gb,hour,direction,size_category,is_peak_hour,destination_type,cost_urgency,traffic_type,is_peak,cost_nrs
192.168.18.1,192.168.18.20,53,49371,UDP,0.0,183000000,1,1830000000.0,0.17043203115463257,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.53,127.0.0.1,53,53428,UDP,0.0,234000000,1,2340000000.0,0.21792948246002197,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,2.1793
127.0.0.1,127.0.0.53,42880,53,UDP,0.0,220000000,2,2200000000.0,0.20489096641540527,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,3.0734
127.0.0.53,127.0.0.1,53,42880,UDP,0.0,396000000,2,3960000000.0,0.3688037395477295,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,3.688
127.0.0.1,127.0.0.53,36074,53,UDP,0.0,110000000,1,1100000000.0,0.10244548320770264,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,1.5367
192.168.18.20,192.168.18.1,59726,53,UDP,0.0,110000000,1,1100000000.0,0.10244548320770264,3,INTERNAL,MEDIUM,False,INTERNAL,False,INTERNAL,False,0.0
127.0.0.1,127.0.0.53,36882,53,UDP,0.0,91000000,1,910000000.0,0.08475035429000854,14,DOWNLOAD,SMALL,True,INTERNAL,False,OTHER,True,1.2713
192.168.18.20,20.205.243.168,45062,443,TCP,5.88,10898000000,26,1853401360.5442176,10.149553418159485,3,UPLOAD,VERY_LARGE,False,CLOUD,False,CLOUD_EGRESS,False,862.712
127.0.0.1,127.0.0.53,35186,53,UDP,0.0,100000000,1,1000000000.0,0.09313225746154785,14,DOWNLOAD,SMALL,True,INTERNAL,False,OTHER,True,1.397
127.0.0.53,127.0.0.1,53,36882,UDP,0.0,107000000,1,1070000000.0,0.0996515154838562,3,DOWNLOAD,SMALL,False,INTERNAL,False,OTHER,False,0.9965
127.0.0.53,127.0.0.1,53,35186,UDP,0.0,164000000,1,1640000000.0,0.15273690223693848,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,OTHER,True,2.2911
192.168.18.20,185.199.110.154,48438,443,TCP,0.55,7157000000,50,13012727272.727272,6.66547566652298,3,UPLOAD,LARGE,False,SERVICE,False,INTERNET_EGRESS,False,499.9107
192.168.18.1,192.168.18.20,53,40726,UDP,0.0,185000000,1,1850000000.0,0.17229467630386353,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.53,127.0.0.1,53,57577,UDP,0.0,182000000,1,1820000000.0,0.1695007085800171,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.695
192.168.18.1,192.168.18.20,53,41381,UDP,0.0,171000000,1,1710000000.0,0.15925616025924683,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.53,127.0.0.1,53,56707,UDP,0.0,171000000,1,1710000000.0,0.15925616025924683,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.5926
192.168.18.1,192.168.18.20,53,59726,UDP,0.0,195000000,1,1950000000.0,0.1816079020500183,14,INTERNAL,MEDIUM,True,INTERNAL,False,INTERNAL,True,0.0
127.0.0.53,127.0.0.1,53,36074,UDP,0.0,192000000,1,1920000000.0,0.17881393432617188,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.7881
185.199.110.154,192.168.18.20,443,48438,TCP,0.51,71838000000,54,140858823529.41177,66.90435111522675,14,DOWNLOAD,VERY_LARGE,True,INTERNAL,False,INTERNET_INGRESS,True,1505.3479
20.205.243.168,192.168.18.20,443,45062,TCP,5.78,8024000000,22,1388235294.117647,7.4729323387146,3,DOWNLOAD,LARGE,False,INTERNAL,False,INTERNET_INGRESS,False,112.094
140.82.113.25,192.168.18.20,443,34638,TCP,1.46,483000000,5,330821917.8082192,0.4498288035392761,14,DOWNLOAD,MEDIUM,True,INTERNAL,False,INTERNET_INGRESS,True,10.1211
127.0.0.1,127.0.0.53,48367,53,UDP,0.0,186000000,2,1860000000.0,0.173225998878479,3,DOWNLOAD,MEDIUM,False,INTERNAL,False,OTHER,False,1.7323
