src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec,direction,destination_type,cost_category,total_gb
192.168.18.20,192.168.18.1,34936,53,UDP,0.0,92,1,92.0,INTERNAL,INTERNET,OTHER,9.2e-08
192.168.18.1,192.168.18.20,53,34936,UDP,0.0,92,1,92.0,INTERNAL,INTERNET,OTHER,9.2e-08
127.0.0.1,127.0.0.53,52649,53,UDP,0.0,194,2,194.0,INTERNAL,INTERNET,OTHER,1.94e-07
192.168.18.20,192.168.18.1,54718,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
192.168.18.20,192.168.18.1,54392,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
127.0.0.1,127.0.0.53,36445,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
192.168.18.20,140.82.112.21,54358,443,TCP,1.27,7945,16,6236.98,UPLOAD,INTERNET,INTERNET_EGRESS,7.945e-06
192.168.18.1,192.168.18.20,53,54718,UDP,0.0,146,1,146.0,INTERNAL,INTERNET,OTHER,1.46e-07
127.0.0.53,127.0.0.1,53,52649,UDP,0.0,360,2,360.0,INTERNAL,LOCAL,OTHER,3.6e-07
127.0.0.53,127.0.0.1,53,36445,UDP,0.0,146,1,146.0,INTERNAL,LOCAL,OTHER,1.46e-07
192.168.18.1,192.168.18.20,53,54392,UDP,0.0,217,1,217.0,INTERNAL,INTERNET,OTHER,2.17e-07
192.168.18.20,192.168.18.1,55338,53,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
192.168.18.1,192.168.18.20,53,55338,UDP,0.0,106,1,106.0,INTERNAL,INTERNET,OTHER,1.06e-07
127.0.0.1,127.0.0.53,40108,53,UDP,0.0,93,1,93.0,INTERNAL,INTERNET,OTHER,9.3e-08
192.168.18.20,140.82.112.25,56346,443,TCP,1.83,3176,15,1740.03,UPLOAD,INTERNET,INTERNET_EGRESS,3.176e-06
127.0.0.53,127.0.0.1,53,40108,UDP,0.0,212,1,212.0,INTERNAL,LOCAL,OTHER,2.12e-07
192.168.18.20,140.82.113.21,48840,443,TCP,2.02,11792,22,5825.28,UPLOAD,INTERNET,INTERNET_EGRESS,1.1792e-05
140.82.112.21,192.168.18.20,443,54358,TCP,1.31,8802,19,6712.4,DOWNLOAD,INTERNET,OTHER,8.802e-06
140.82.113.21,192.168.18.20,443,48840,TCP,1.64,7700,18,4688.71,DOWNLOAD,INTERNET,OTHER,7.7e-06
140.82.112.25,192.168.18.20,443,56338,TCP,6.63,4564,10,688.33,DOWNLOAD,INTERNET,OTHER,4.564e-06
140.82.112.25,192.168.18.20,443,56346,TCP,1.2,5883,11,4884.05,DOWNLOAD,INTERNET,OTHER,5.883e-06
140.82.113.22,192.168.18.20,443,35924,TCP,0.01,168,2,168.0,DOWNLOAD,INTERNET,OTHER,1.68e-07
192.168.18.20,140.82.113.22,35924,443,TCP,0.0,72,1,72.0,UPLOAD,INTERNET,INTERNET_EGRESS,7.2e-08
127.0.0.1,127.0.0.53,41399,53,UDP,0.0,200,2,200.0,INTERNAL,INTERNET,OTHER,2e-07
127.0.0.53,127.0.0.1,53,41399,UDP,0.0,568,2,568.0,INTERNAL,LOCAL,OTHER,5.68e-07
192.168.18.1,192.168.18.20,53,39958,UDP,0.0,185,1,185.0,INTERNAL,INTERNET,OTHER,1.85e-07
127.0.0.1,127.0.0.53,43587,53,UDP,0.0,176,2,176.0,INTERNAL,INTERNET,OTHER,1.76e-07
192.168.18.20,192.168.18.1,50292,53,UDP,0.0,88,1,88.0,INTERNAL,INTERNET,OTHER,8.8e-08
192.168.18.20,192.168.18.1,54768,53,UDP,0.0,88,1,88.0,INTERNAL,INTERNET,OTHER,8.8e-08
127.0.0.1,127.0.0.53,51632,53,UDP,0.0,184,2,184.0,INTERNAL,INTERNET,OTHER,1.84e-07
127.0.0.53,127.0.0.1,53,51632,UDP,0.0,732,2,732.0,INTERNAL,LOCAL,OTHER,7.32e-07
192.168.18.1,192.168.18.20,53,50292,UDP,0.0,264,1,264.0,INTERNAL,INTERNET,OTHER,2.64e-07
127.0.0.53,127.0.0.1,53,43587,UDP,0.0,464,2,464.0,INTERNAL,LOCAL,OTHER,4.64e-07
192.168.18.1,192.168.18.20,53,54768,UDP,0.0,200,1,200.0,INTERNAL,INTERNET,OTHER,2e-07
127.0.0.1,127.0.0.53,44964,53,UDP,0.0,194,2,194.0,INTERNAL,INTERNET,OTHER,1.94e-07
192.168.18.20,192.168.18.1,51135,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
192.168.18.20,192.168.18.1,37733,53,UDP,0.0,97,1,97.0,INTERNAL,INTERNET,OTHER,9.7e-08
192.168.18.1,192.168.18.20,53,51135,UDP,0.0,113,1,113.0,INTERNAL,INTERNET,OTHER,1.13e-07
127.0.0.53,127.0.0.1,53,44964,UDP,0.0,238,2,238.0,INTERNAL,LOCAL,OTHER,2.38e-07
192.168.18.1,192.168.18.20,53,37733,UDP,0.0,125,1,125.0,INTERNAL,INTERNET,OTHER,1.25e-07
