src_ip,dst_ip,src_port,dst_port,protocol,duration_sec,total_bytes,packet_count,bytes_per_sec
192.168.18.1,192.168.18.20,53,41996,UDP,0.0,116000000,1,1160000000.0
127.0.0.1,127.0.0.53,33820,53,UDP,0.0,194000000,2,1940000000.0
192.168.18.20,192.168.18.1,56139,53,UDP,0.0,97000000,1,970000000.0
192.168.18.20,192.168.18.1,45284,53,UDP,0.0,97000000,1,970000000.0
192.168.18.1,192.168.18.20,53,56139,UDP,0.0,141000000,1,1410000000.0
127.0.0.53,127.0.0.1,53,33820,UDP,0.0,294000000,2,2940000000.0
192.168.18.1,192.168.18.20,53,45284,UDP,0.0,153000000,1,1530000000.0
127.0.0.1,127.0.0.53,43210,53,UDP,0.0,184000000,2,1840000000.0
192.168.18.20,192.168.18.1,54682,53,UDP,0.0,92000000,1,920000000.0
192.168.18.20,192.168.18.1,60039,53,UDP,0.0,92000000,1,920000000.0
192.168.18.1,192.168.18.20,53,54682,UDP,0.0,108000000,1,1080000000.0
127.0.0.53,127.0.0.1,53,43210,UDP,0.0,228000000,2,2280000000.0
192.168.18.1,192.168.18.20,53,60039,UDP,0.0,120000000,1,1200000000.0
127.0.0.1,127.0.0.53,39410,53,UDP,0.0,198000000,2,1980000000.0
192.168.18.20,192.168.18.1,34101,53,UDP,0.0,99000000,1,990000000.0
192.168.18.20,192.168.18.1,50899,53,UDP,0.0,99000000,1,990000000.0
192.168.18.1,192.168.18.20,53,34101,UDP,0.0,115000000,1,1150000000.0
127.0.0.53,127.0.0.1,53,39410,UDP,0.0,242000000,2,2420000000.0
192.168.18.1,192.168.18.20,53,50899,UDP,0.0,127000000,1,1270000000.0
127.0.0.1,127.0.0.53,59162,53,UDP,0.0,184000000,2,1840000000.0
127.0.0.53,127.0.0.1,53,59162,UDP,0.0,228000000,2,2280000000.0
127.0.0.1,127.0.0.53,37203,53,UDP,0.0,224000000,2,2240000000.0
192.168.18.20,192.168.18.1,58755,53,UDP,0.0,112000000,1,1120000000.0
192.168.18.20,192.168.18.1,59731,53,UDP,0.0,112000000,1,1120000000.0
192.168.18.1,192.168.18.20,53,58755,UDP,0.0,128000000,1,1280000000.0
192.168.18.1,192.168.18.20,53,59731,UDP,0.0,140000000,1,1400000000.0
127.0.0.53,127.0.0.1,53,37203,UDP,0.0,268000000,2,2680000000.0
192.168.18.187,224.0.0.251,5353,5353,UDP,4.0,474000000,3,118500000.0
127.0.0.1,127.0.0.53,45384,53,UDP,0.02,234000000,2,2340000000.0
192.168.18.20,192.168.18.1,51056,53,UDP,0.0,117000000,1,1170000000.0
192.168.18.1,192.168.18.20,53,51056,UDP,0.0,170000000,1,1700000000.0
127.0.0.53,127.0.0.1,53,45384,UDP,0.01,368000000,2,3680000000.0
192.168.18.20,192.168.18.1,51346,53,UDP,0.0,115000000,1,1150000000.0
192.168.18.1,192.168.18.20,53,51346,UDP,0.0,143000000,1,1430000000.0
127.0.0.1,127.0.0.53,35666,53,UDP,0.0,184000000,2,1840000000.0
127.0.0.53,127.0.0.1,53,35666,UDP,0.0,732000000,2,7320000000.0
127.0.0.1,127.0.0.53,51868,53,UDP,0.0,234000000,2,2340000000.0
192.168.18.20,192.168.18.1,50905,53,UDP,0.0,117000000,1,1170000000.0
192.168.18.20,192.168.18.1,39131,53,UDP,0.0,117000000,1,1170000000.0
192.168.18.1,192.168.18.20,53,50905,UDP,0.0,170000000,1,1700000000.0
127.0.0.53,127.0.0.1,53,51868,UDP,0.0,352000000,2,3520000000.0
192.168.18.1,192.168.18.20,53,39131,UDP,0.0,182000000,1,1820000000.0
